2023-05-17 11:10:51.332 INFO  c.p.P.PackageConversionApiApplicationTests - Started PackageConversionApiApplicationTests in 1.24 seconds (process running for 2.456)
2023-05-17 11:10:51.731 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: [1, 1]
2023-05-17 11:10:51.732 INFO  c.p.P.S.ConversionMeasurementService - Input processed successfully. Result: [1]
2023-05-17 11:16:25.843 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.package_measurement_conversion.PackageConversionAPI.PackageConversionApiApplicationTests]: PackageConversionApiApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-05-17 11:16:25.979 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.package_measurement_conversion.PackageConversionAPI.PackageConversionApiApplication for test class com.package_measurement_conversion.PackageConversionAPI.PackageConversionApiApplicationTests
2023-05-17 11:16:26.546 INFO  c.p.P.PackageConversionApiApplicationTests - Starting PackageConversionApiApplicationTests using Java 17.0.2 with PID 21316 (started by Wasan in C:\Users\TRA0004\IdeaProjects\PackageConversionAPI)
2023-05-17 11:16:26.549 INFO  c.p.P.PackageConversionApiApplicationTests - No active profile set, falling back to 1 default profile: "default"
2023-05-17 11:16:28.021 INFO  c.p.P.PackageConversionApiApplicationTests - Started PackageConversionApiApplicationTests in 1.813 seconds (process running for 3.288)
2023-05-17 11:16:28.571 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: [1, 1]
2023-05-17 11:16:28.573 INFO  c.p.P.S.ConversionMeasurementService - Input processed successfully. Result: [1]
2023-05-17 11:16:28.593 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: [1, 2, 2, 3, 3]
2023-05-17 11:16:28.593 INFO  c.p.P.S.ConversionMeasurementService - Input processed successfully. Result: [2, 6]
2023-05-17 11:16:28.598 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: [4, 26, 1, 0, 1, 1, 53, 1, 1]
2023-05-17 11:16:28.598 INFO  c.p.P.S.ConversionMeasurementService - Input processed successfully. Result: [28, 53, 1]
2023-05-17 11:16:28.601 INFO  c.p.P.S.ConversionMeasurementService - Input has been successfully converted to a list of numbers. Number list: []
